dataset,obs_dim,pred_space,loss_space,steps,tau,seed,final_val_x_mse,final_val_v_mse,final_mmd,x_mse_mean,v_mse_mean,mmd_2d,final_train_loss
moons,64,x,v,1,0.0,42,0.018734853307250887,0.04542842833325267,0.4883919954299927,0.018579590134322643,0.044398168101906776,0.4883919954299927,0.054886266589164734
moons,64,x,v,1,0.1,42,0.022555535135325044,0.0535199623554945,0.4004465341567993,0.022380841430276632,0.05249484721571207,0.4004465341567993,0.044156257063150406
moons,64,x,v,1,0.2,42,0.03534150111954659,0.08095157518982887,0.30703043937683105,0.035145691712386906,0.079627875238657,0.30703043937683105,0.03997272253036499
moons,64,x,v,1,0.3,42,0.058176920749247074,0.12932263687252998,0.2099035382270813,0.05791014316491783,0.1277233064174652,0.2099035382270813,0.03409451246261597
